"","input_bc","input_low","input_high","costs_low","costs_high","cost_bc","deaths_low","deaths_high","deaths_bc","od_deaths_low","od_deaths_high","od_deaths_bc","group","cost_range","deaths_range","od_deaths_range","name"
"52",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_ACUTE",0,0,0,"p_BO_MOD_BI"
"53",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_ACUTE",0,0,0,"p_BO_SEVERE_BI"
"54",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_ACUTE",0,0,0,"p_BO_SEVERE_BI_OUT"
"55",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_ACUTE",0,0,0,"p_BO_OD_DEATH"
"56",0.00053201,0.0003990075,0.0006650125,670154887625.028,670149860964.834,670152374271.406,4516562.63686413,4517559.09228353,4517060.87241281,117649.498101018,117649.126436227,117649.312267207,"BN_ACUTE",5026660.1940918,996.45541940257,0.371664790785871,"p_BO_DEATH"
"57",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_ACUTE",0,0,0,"p_BR_ILLICIT"
"58",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_ACUTE",0,0,0,"p_BR_OAT_INI"
"59",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_ACUTE",0,0,0,"p_BR_OAT_MAINT"
"60",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_ACUTE",0,0,0,"p_BR_OAT_SS"
"61",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_ACUTE",0,0,0,"p_BR_SS"
"62",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_ACUTE",0,0,0,"p_BR_OD_ILLICIT"
"63",1e-04,7.5e-05,0.000125,670382507398.875,669922609481.61,670152374271.406,4517003.68947675,4517117.97543158,4517060.87241281,117693.111755273,117605.572820798,117649.312267207,"BN_CHRONIC",459897917.264648,114.285954828374,87.5389344750729,"p_BN_PN"
"64",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CHRONIC",0,0,0,"p_BN_ACUTE"
